Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
19074814,19074814,1,0,0,0.028050203
140972809,140972809,1,0,0,0.028050203
247280833,247280833,1,0,0,0.028050203
216790519,216790519,1,0,0,0.028050203
820694,820694,18,1,16,0.028050203
250373044,250373044,4,0,0,0.202432384
164951970,164951970,1,0,0,0.118281774
131544348,131544348,1,0,0,0.118281774
14398864,14398864,2,0,0,0.146331977
139153402,139153402,3,0,0,0.264613751
15869306,15869306,1,0,0,0.118281774
245660224,245660224,12,0,0,0.877991864
109980164,109980164,4,0,0,0.292663955
246202759,246202759,2,0,0,0.146331977
11252962,11252962,7,0,0,0.286582994
6021962,6021962,3,0,0,0.174382181
12169762,12169762,1,0,0,0.118281774
131042222,131042222,1,0,0,0.118281774
235765847,235765847,2,0,0,0.146331977
47930097,47930097,1,0,0,0.118281774
35232736,35232736,7,1,0,0
7137822,7137822,1,0,0,0.028050203
103978774,103978774,1,0,0,0.028050203
44859460,44859460,3,0,0,0.08415061
17015148,17015148,1,0,0,0.028050203
16485725,16485725,2,0,0,0.056100407
113994730,113994730,1,0,0,0.028050203
234489044,234489044,1,1,0,0
244801106,244801106,3,0,0,0.08415061
11316572,11316572,23,1.148148148,0,0
66376676,66376676,2,0,0,0.056100407
160568186,160568186,1,0,0,0.028050203
54558463,54558463,1,0,0,0.028050203
43964870,43964870,1,0,0,0.028050203
87643594,87643594,1,0,0,0.028050203
17515318,17515318,1,0,0,0.028050203
140950765,140950765,3,0,0,0.08415061
189254142,189254142,2,0,0,0.326795118
15289325,15289325,1,0,0,0.028050203
37459867,37459867,1,0,0,0.028050203
15934100,15934100,3,0,0,0.08415061
199342782,199342782,3,0,0,0.08415061
35158890,35158890,1,0,0,0.028050203
45306022,45306022,1,0,0,0.028050203
64173452,64173452,1,0,0,0.028050203
36016773,36016773,4,1,2,0.028050203
43410990,43410990,1,0,0,0.028050203
90036051,90036051,2,0,0,0.146331977
92023100,92023100,1,0,0,0.028050203
24842995,24842995,1,0,0,0.028050203
8906612,8906612,38,1.191489362,0,0
33834391,33834391,1,0,0,0.028050203
21328726,21328726,1,0,0,0.028050203
167638126,167638126,1,0,0,0.028050203
18285948,18285948,1,0,0,0.028050203
203312139,203312139,1,0,0,0.028050203
22661834,22661834,9,1,18,0.112200814
21661210,21661210,2,0,0,0.417026689
203296117,203296117,1,0,0,0.028050203
238757453,238757453,1,0,0,0.028050203
178206779,178206779,2,0,0,0.056100407
18465738,18465738,5,1,3,0.028050203
239969314,239969314,4,1,2,0.174382181
167959329,167959329,8,0,0,0.224401627
48790730,48790730,2,0,0,0.146331977
247387588,247387588,1,0,0,0.028050203
14445424,14445424,1,0,0,0.028050203
55829302,55829302,2,0,0,0.056100407
114582000,114582000,2,0,0,0.056100407
16162099,16162099,2,1,1,0.028050203
156233898,156233898,1,0,0,0.028050203
42208602,42208602,1,0,0,0.028050203
23820754,23820754,2,0,0,0.146331977
86391940,86391940,1,0,0,0.028050203
120201528,120201528,1,0,0,0.028050203
88663606,88663606,1,0,0,0.028050203
64132002,64132002,1,0,0,0.028050203
22249978,22249978,1,0,0,0.028050203
42597215,42597215,2,0,0,0.056100407
92556599,92556599,1,0,0,0.028050203
229682499,229682499,1,0,0,0.028050203
108235863,108235863,1,0,0,0.028050203
56793090,56793090,1,0,0,0.028050203
203320886,203320886,1,0,0,0.028050203
6453612,6453612,7,1,12,0.112200814
190046198,190046198,1,0,0,0.388976485
47961020,47961020,1,0,0,0.388976485
68140695,68140695,6,1.142857143,0,0
146904677,146904677,1,0,0,0.028050203
24609337,24609337,1,0,0,0.028050203
15752333,15752333,1,0,0,0.028050203
41239526,41239526,1,0,0,0.028050203
79498539,79498539,1,0,0,0.028050203
149164632,149164632,2,0,0,0.236563548
226404924,226404924,1,0,0,0.208513344
244211114,244211114,2,0,0,0.236563548
247301588,247301588,1,0,0,0.208513344
81679867,81679867,10,1,0,0
245672194,245672194,1,0,0,0.028050203
68258705,68258705,2,0,0,0.056100407
17730733,17730733,1,0,0,0.028050203
150741727,150741727,1,0,0,0.028050203
14868090,14868090,1,0,0,0.028050203
195648763,195648763,1,0,0,0.028050203
194018916,194018916,1,0,0,0.028050203
96543231,96543231,1,0,0,0.028050203
184917683,184917683,2,1,0,0
242809350,242809350,2,0,0,0.056100407
106393282,106393282,1,0,0,0.028050203
9201822,9201822,5,1,0,0
111855574,111855574,3,0,0,0.264613751
194846886,194846886,1,0,0,0.028050203
243179120,243179120,1,0,0,0.028050203
3655491,3655491,147,1.013422819,0,0
243322507,243322507,1,0,0,0.028050203
93947122,93947122,1,0,0,0.028050203
242671550,242671550,2,0,0,0.056100407
21714700,21714700,2,0,0,0.056100407
228602007,228602007,2,0,0,0.056100407
86250820,86250820,2,0,0,0.056100407
222749332,222749332,3,0,0,0.08415061
153424135,153424135,2,0,0,0.056100407
78878418,78878418,3,0,0,0.08415061
48167400,48167400,2,1,1,0.028050203
36721457,36721457,3,0,0,0.08415061
80126890,80126890,5,0,0,0.140251017
79136059,79136059,2,0,0,0.056100407
109174893,109174893,2,0,0,0.056100407
75099753,75099753,3,0,0,0.08415061
16744496,16744496,2,0,0,0.056100407
156593500,156593500,2,0,0,0.056100407
14124544,14124544,2,0,0,0.056100407
36846878,36846878,3,0,0,0.174382181
120903808,120903808,2,0,0,0.056100407
17160680,17160680,2,0,0,0.056100407
19578194,19578194,3,0,0,0.174382181
46249941,46249941,2,0,0,0.056100407
3419141,3419141,1,0,0,0.028050203
7458262,7458262,1,0,0,0.028050203
89213165,89213165,1,0,0,0.028050203
31700808,31700808,1,0,0,0.028050203
25381441,25381441,1,0,0,0.028050203
23655210,23655210,2,0,0,0.056100407
38486009,38486009,1,0,0,0.028050203
123999589,123999589,1,0,0,0.028050203
40615400,40615400,1,0,0,0.028050203
30233484,30233484,1,0,0,0.028050203
244944749,244944749,1,0,0,0.028050203
140407365,140407365,1,0,0,0.028050203
38224970,38224970,1,0,0,0.028050203
79340068,79340068,1,0,0,0.028050203
140419227,140419227,2,1,1,0.028050203
244968217,244968217,1,0,0,0.028050203
109607991,109607991,1,0,0,0.028050203
246187019,246187019,1,0,0,0.028050203
90462709,90462709,1,0,0,0.028050203
104327575,104327575,1,0,0,0.028050203
55632779,55632779,1,0,0,0.028050203
220797072,220797072,1,0,0,0.028050203
41321146,41321146,1,0,0,0.028050203
49451215,49451215,1,0,0,0.028050203
244078212,244078212,1,0,0,0.028050203
110807429,110807429,1,0,0,0.028050203
49345226,49345226,1,0,0,0.028050203
25481259,25481259,1,0,0,0.028050203
93470866,93470866,1,0,0,0.028050203
121367858,121367858,1,0,0,0.028050203
157726273,157726273,1,0,0,0.028050203
243328576,243328576,1,0,0,0.028050203
45865234,45865234,1,0,0,0.028050203
17693079,17693079,1,0,0,0.028050203
212340513,212340513,1,0,0,0.028050203
37902240,37902240,1,0,0,0.028050203
25242870,25242870,1,0,0,0.028050203
18641106,18641106,1,0,0,0.028050203
240809278,240809278,1,0,0,0.028050203
49946383,49946383,1,0,0,0.028050203
134474432,134474432,1,0,0,0.028050203
34061316,34061316,1,0,0,0.028050203
62311917,62311917,1,0,0,0.028050203
15212683,15212683,1,0,0,0.028050203
63985557,63985557,1,0,0,0.028050203
220701283,220701283,1,0,0,0.028050203
22838573,22838573,1,0,0,0.028050203
16654413,16654413,1,0,0,0.028050203
176020991,176020991,1,0,0,0.028050203
42375823,42375823,1,0,0,0.028050203
21968778,21968778,1,0,0,0.028050203
31577678,31577678,1,0,0,0.028050203
44103984,44103984,1,0,0,0.028050203
38182445,38182445,1,0,0,0.028050203
244681973,244681973,2,0,0,0.056100407
90346365,90346365,1,0,0,0.028050203
125589278,125589278,1,0,0,0.028050203
114754039,114754039,1,0,0,0.028050203
244995608,244995608,1,0,0,0.028050203
238160937,238160937,1,0,0,0.028050203
87007811,87007811,1,0,0,0.028050203
131155022,131155022,1,0,0,0.028050203
12448372,12448372,1,0,0,0.028050203
244200817,244200817,1,0,0,0.028050203
197709012,197709012,1,0,0,0.028050203
244483171,244483171,1,0,0,0.028050203
18898784,18898784,1,0,0,0.028050203
231050539,231050539,1,0,0,0.028050203
246635985,246635985,1,0,0,0.028050203
40915422,40915422,1,0,0,0.028050203
16016006,16016006,1,0,0,0.028050203
222621744,222621744,1,0,0,0.028050203
