Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
23798,23798,2,8.741324921,5083.060601,2.15E-04,0.010126196
31956,31956,2,8.170347003,9106.223227,2.17E-04,0.01276216
23410,23410,4,7.077963046,6648.5,0.006399719,0.091590086
23421,23421,3,8.076611086,0.5,0.005144374,0.069851979
112359,112359,2,8.07706174,0,2.21E-04,0.018041809
132561,132561,2,8.07706174,0,2.21E-04,0.018041809
22319,22319,2,8.878774223,2602.027144,2.21E-04,0.006900114
86334,86334,2,8.948174854,323.6091353,2.14E-04,0.011164289
33355,33355,2,9.020730059,0,2.10E-04,0.009238731
71752,71752,2,9.020730059,0,2.10E-04,0.009238731
13319,13319,2,8.557908968,2422.045498,2.17E-04,0.015356387
23456,23456,5,8.421360973,8269.01163,0.001684604,0.02398874
168,168,2,9.324470482,3991.861364,2.20E-04,0.005543315
3135,3135,2,7.51374493,3284.087351,2.18E-04,0.005905398
3808,3808,2,8.374042361,561.6329101,2.16E-04,0.01289697
23583,23583,3,7.512843623,6568.508036,0.005655879,0.075370882
23595,23595,1,9.42091032,0,2.45E-04,0.00405004
23469,23469,2,11.09643984,2218,0.001912214,0.020133753
23488,23488,3,10.0977918,119126,0.002921919,0.040173018
23519,23519,1,12.09598918,0,3.72E-04,0.004652457
23492,23492,6,11.05047319,112736.5,0.004171878,0.055503711
23533,23533,5,9.147814331,170348.5,0.002850016,0.038453414
5851,5851,2,12.02839117,0,2.06E-04,0.0089107
5956,5956,2,12.02839117,0,2.06E-04,0.0089107
23500,23500,5,12.00630915,102085.5,4.79E-04,0.017239969
23549,23549,1,12.05002253,0,0.002475535,0.027427391
23575,23575,2,12.02839117,0,2.06E-04,0.0089107
24139,24139,19,8.219468229,209450,0.002084468,0.024589706
24193,24193,2,10.13789995,0,2.18E-04,0.008844174
24196,24196,23,10.12843623,44170.5,0.002484536,0.027523924
24208,24208,2,10.13789995,0,2.18E-04,0.008844174
23580,23580,7,5.413249211,91199.49698,0.002605785,0.039471681
649,649,2,6.161784588,2766.316309,2.05E-04,0.009962355
753,753,2,6.132492114,2793.971861,2.03E-04,0.007624388
23724,23724,1,6.412798558,0,2.38E-04,0.005474199
24734,24734,2,6.129788193,12039.12251,2.00E-04,0.007778428
35140,35140,2,6.256421812,60749.38406,2.08E-04,0.009747026
35751,35751,2,6.161784588,2766.316309,2.05E-04,0.009962355
730,730,3,6.533123028,4357.574606,3.07E-04,0.025689533
23686,23686,3,6.533123028,4357.574606,0.002572352,0.045248401
23629,23629,2,10.03109509,2374.015207,0.001444123,0.011904095
23622,23622,13,5.542136097,203705.3822,0.006777525,0.116743384
757,757,3,6.022983326,248015.064,3.02E-04,0.044457169
